lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
30.0,1.0,45.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,10,1970,651.3046865239779,1696.6828247230937
10.0,1.0,45.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,10,1970,651.3046865239779,1696.6828247230937
50.0,1.0,60.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,11,1969,651.3046865239779,1696.6828247230937
50.0,1.0,45.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,10,1970,651.3046865239779,1696.6828247230937
10.0,1.0,60.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,11,1969,651.3046865239779,1696.6828247230937
10.0,1.5,60.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,11,1969,651.3046865239779,1696.6828247230937
30.0,1.5,60.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,11,1969,651.3046865239779,1696.6828247230937
30.0,1.5,45.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,10,1970,651.3046865239779,1696.6828247230937
10.0,1.5,45.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,10,1970,651.3046865239779,1696.6828247230937
30.0,1.0,60.0,15.0,1.6349679851733296,1.3452105598961306,21.539930916062126,0.10543845863924742,0.07776918059299573,35.57871876143147,0.41178452377377917,0.838015349610509,-50.86193540903905,12,11,1969,651.3046865239779,1696.6828247230937
50.0,2.0,30.0,10.0,1.6347198671827874,1.3452105598961306,21.521486369316865,0.09674909307981044,0.07776918059299573,24.405442287152166,0.5566065940731814,0.838015349610509,-33.58038199039197,9,9,1974,1093.5103050352866,1650.7209972219707
50.0,1.5,30.0,10.0,1.6347198671827874,1.3452105598961306,21.521486369316865,0.09674909307981044,0.07776918059299573,24.405442287152166,0.5566065940731814,0.838015349610509,-33.58038199039197,10,10,1972,1093.5103050352866,1650.7209972219707
10.0,2.0,30.0,10.0,1.6329411687127533,1.3452105598961306,21.38926182967517,0.09656293123828824,0.07776918059299573,24.16606488841567,0.5566065940731819,0.838015349610509,-33.580381990391906,15,10,1967,1083.947630491233,1639.1132366602685
30.0,2.0,30.0,10.0,1.5449972868033237,1.3452105598961306,14.851706704013646,0.09399350842110671,0.07776918059299573,20.86215606799414,0.556606594073181,0.838015349610509,-33.58038199039201,9,9,1974,560.7986473011081,1186.7446982812119
50.0,2.0,60.0,15.0,1.4916128155999568,1.3452105598961306,10.883222304999641,0.10214213692490096,0.07776918059299573,31.340122328742105,0.4117845237737792,0.838015349610509,-50.86193540903904,9,8,1975,511.42582499772374,1234.3403578215843
50.0,1.5,60.0,15.0,1.4916128155999568,1.3452105598961306,10.883222304999641,0.10214213692490096,0.07776918059299573,31.340122328742105,0.4117845237737792,0.838015349610509,-50.86193540903904,9,10,1973,511.42582499772374,1234.3403578215843
30.0,2.0,60.0,15.0,1.4624867419142697,1.3452105598961306,8.718053925118946,0.1010582232147883,0.07776918059299573,29.946364927869762,0.41178452377377917,0.838015349610509,-50.86193540903905,9,9,1974,355.32276077106775,1123.6297767377741
10.0,2.0,60.0,15.0,1.4624867419142697,1.3452105598961306,8.718053925118946,0.1010582232147883,0.07776918059299573,29.946364927869762,0.41178452377377917,0.838015349610509,-50.86193540903905,11,11,1970,355.32276077106775,1123.6297767377741
10.0,2.0,45.0,15.0,1.4460976027823866,1.3452105598961306,7.499721299693482,0.10147593227081468,0.07776918059299573,30.4834787984819,0.41178452377377917,0.838015349610509,-50.86193540903905,11,10,1971,340.5904555551005,1105.3337456407014
30.0,1.0,45.0,10.0,1.433121604830852,1.3452105598961306,6.5351140970458435,0.09247956299159213,0.07776918059299573,18.915439620719482,0.6006767963517274,0.838015349610509,-28.321504298112355,22,16,1954,55.73061817888022,859.2899822372839
50.0,1.0,45.0,10.0,1.433121604830852,1.3452105598961306,6.5351140970458435,0.09247956299159213,0.07776918059299573,18.915439620719482,0.6006767963517274,0.838015349610509,-28.321504298112355,22,16,1954,55.73061817888022,859.2899822372839
30.0,1.5,45.0,10.0,1.433121604830852,1.3452105598961306,6.5351140970458435,0.09247956299159213,0.07776918059299573,18.915439620719482,0.6006767963517274,0.838015349610509,-28.321504298112355,20,15,1957,55.73061817888022,859.2899822372839
10.0,1.0,45.0,10.0,1.433121604830852,1.3452105598961306,6.5351140970458435,0.09247956299159213,0.07776918059299573,18.915439620719482,0.6006767963517274,0.838015349610509,-28.321504298112355,22,16,1954,55.73061817888022,859.2899822372839
10.0,1.5,45.0,10.0,1.433121604830852,1.3452105598961306,6.5351140970458435,0.09247956299159213,0.07776918059299573,18.915439620719482,0.6006767963517274,0.838015349610509,-28.321504298112355,22,15,1955,55.73061817888022,859.2899822372839
10.0,1.0,60.0,5.0,1.4321674557175093,1.3452105598961306,6.464184746519755,0.09380058117792255,0.07776918059299573,20.614079334109228,0.531724626320731,0.838015349610509,-36.54953616686558,73,40,1879,146.51147920653767,842.8448934969682
30.0,1.0,60.0,5.0,1.4270094528207156,1.3452105598961306,6.080750134083174,0.09377011883926989,0.07776918059299573,20.574909140440763,0.5317246263207305,0.838015349610509,-36.54953616686564,70,40,1882,133.40544606362073,833.5621229187904
50.0,1.0,60.0,5.0,1.4270094528207156,1.3452105598961306,6.080750134083174,0.09377011883926989,0.07776918059299573,20.574909140440763,0.5317246263207305,0.838015349610509,-36.54953616686564,69,38,1885,133.40544606362073,833.5621229187904
