lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
50.0,2.0,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,2.0,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
10.0,2.0,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
50.0,1.0,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,2.0,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
30.0,1.0,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
30.0,1.0,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
50.0,1.0,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
50.0,1.0,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
30.0,1.0,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
30.0,2.0,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
30.0,2.0,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
30.0,1.0,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,3,0,363,0.0,0.0
30.0,2.0,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
30.0,1.5,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
30.0,1.5,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
30.0,2.0,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,1.0,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
30.0,1.5,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
50.0,1.0,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
50.0,1.5,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,1.5,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
10.0,2.0,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,1.0,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
50.0,2.0,60.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
50.0,2.0,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
10.0,1.0,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
50.0,2.0,45.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
50.0,2.0,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
10.0,1.0,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,3,0,363,0.0,0.0
50.0,2.0,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,1.5,30.0,10.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
30.0,1.5,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
50.0,1.5,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
10.0,1.5,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
50.0,1.5,45.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,1,0,365,0.0,0.0
10.0,1.5,60.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,2,0,364,0.0,0.0
50.0,1.5,30.0,15.0,2.111093924620959,2.111093924620959,0.0,0.08313537544436723,0.08313537544436723,0.0,0.2623233678411879,0.2623233678411879,0.0,0,0,366,0.0,0.0
50.0,1.5,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
50.0,1.0,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,2,1,363,-8.723159291475454,9.825498199996979
50.0,1.5,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,2,1,363,-8.723159291475454,9.825498199996979
50.0,1.0,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
30.0,1.5,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
30.0,1.5,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,2,1,363,-8.723159291475454,9.825498199996979
10.0,2.0,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,2,1,363,-8.723159291475454,9.825498199996979
10.0,2.0,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
10.0,1.5,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,2,1,363,-8.723159291475454,9.825498199996979
10.0,1.0,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,4,1,361,-8.723159291475454,9.825498199996979
10.0,1.5,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
30.0,1.0,60.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,4,1,361,-8.723159291475454,9.825498199996979
10.0,1.0,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
30.0,1.0,45.0,10.0,1.8970432195840914,2.111093924620959,-10.139326466741627,0.0847519935416552,0.08313537544436723,1.9445610110581417,0.259348300613734,0.2623233678411879,-1.1341220768616638,3,1,362,-8.723159291475454,9.825498199996979
