lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
50.0,1.5,30.0,15.0,1.8072168686360182,1.8072168686360182,0.0,0.09712020413412839,0.09712020413412839,0.0,0.3017693826647266,0.30176938266472664,-1.8395223114112975e-14,0,0,531,0.0,0.0
50.0,2.0,30.0,15.0,1.8072168686360182,1.8072168686360182,0.0,0.09712020413412839,0.09712020413412839,0.0,0.3017693826647266,0.30176938266472664,-1.8395223114112975e-14,0,0,531,0.0,0.0
50.0,1.5,30.0,5.0,1.6865804170855823,1.8072168686360182,-6.6752614832267065,0.0949868047660525,0.09712020413412839,-2.196658653156818,0.3017693826647267,0.30176938266472664,1.8395223114112975e-14,6,2,523,-9.960147292694428,8.945581239934954
50.0,1.5,45.0,15.0,1.6594749885178932,1.8072168686360182,-8.175105195295785,0.0908126972860756,0.09712020413412839,-6.494536234027853,0.3017693826647266,0.30176938266472664,-1.8395223114112975e-14,4,1,526,-5.07219987804715,9.616780428061203
50.0,2.0,60.0,15.0,1.6594749885178932,1.8072168686360182,-8.175105195295785,0.0908126972860756,0.09712020413412839,-6.494536234027853,0.3017693826647266,0.30176938266472664,-1.8395223114112975e-14,3,1,527,-5.07219987804715,9.616780428061203
50.0,1.5,60.0,15.0,1.6594749885178932,1.8072168686360182,-8.175105195295785,0.0908126972860756,0.09712020413412839,-6.494536234027853,0.3017693826647266,0.30176938266472664,-1.8395223114112975e-14,3,1,527,-5.07219987804715,9.616780428061203
50.0,2.0,45.0,15.0,1.6594749885178932,1.8072168686360182,-8.175105195295785,0.0908126972860756,0.09712020413412839,-6.494536234027853,0.3017693826647266,0.30176938266472664,-1.8395223114112975e-14,3,1,527,-5.07219987804715,9.616780428061203
50.0,1.5,45.0,5.0,1.5962192271702755,1.8072168686360182,-11.67528065544183,0.09070181713369672,0.09712020413412839,-6.608704190497291,0.3017693826647267,0.30176938266472664,1.8395223114112975e-14,10,3,518,-13.411357365053156,13.749554750856198
50.0,1.5,60.0,5.0,1.5962192271702755,1.8072168686360182,-11.67528065544183,0.09070181713369672,0.09712020413412839,-6.608704190497291,0.3017693826647267,0.30176938266472664,1.8395223114112975e-14,11,3,517,-13.411357365053156,13.749554750856198
10.0,1.0,45.0,15.0,1.571931578425116,1.8072168686360182,-13.019206177976955,0.08663736858325775,0.09712020413412839,-10.793671249283268,0.30949789659077587,0.30176938266472664,2.5610662877074586,5,2,524,-9.059453676564274,15.56864000017738
30.0,2.0,45.0,15.0,1.571931578425116,1.8072168686360182,-13.019206177976955,0.08663736858325775,0.09712020413412839,-10.793671249283268,0.30949789659077587,0.30176938266472664,2.5610662877074586,4,2,525,-9.059453676564274,15.56864000017738
30.0,1.0,45.0,15.0,1.571931578425116,1.8072168686360182,-13.019206177976955,0.08663736858325775,0.09712020413412839,-10.793671249283268,0.30949789659077587,0.30176938266472664,2.5610662877074586,5,2,524,-9.059453676564274,15.56864000017738
