lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
10.0,1.0,30.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
30.0,1.5,45.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
50.0,1.0,45.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
50.0,1.0,45.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
50.0,1.0,45.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,2,0,163,0.0,0.0
50.0,1.0,30.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
50.0,1.0,30.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
50.0,1.0,30.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
30.0,2.0,60.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
30.0,2.0,60.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
30.0,2.0,60.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,2,0,163,0.0,0.0
30.0,2.0,45.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
30.0,2.0,45.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
30.0,2.0,45.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,2,0,163,0.0,0.0
30.0,2.0,30.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
30.0,2.0,30.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
30.0,2.0,30.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
30.0,1.5,60.0,15.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,0,0,165,0.0,0.0
30.0,1.5,60.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
50.0,1.0,60.0,5.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,2,0,163,0.0,0.0
50.0,1.0,60.0,10.0,6.9404656175196795,6.9404656175196795,0.0,0.09786433897979062,0.09786433897979062,0.0,0.2860427373546119,0.28604273735461183,1.940659348481893e-14,1,0,164,0.0,0.0
