lookback_period,body_multiplier,backcandles,test_candles,Strategy Total Return,Buy and Hold Total Return,Strategy Total Return Improvement,Strategy Sharpe Ratio,Buy and Hold Sharpe Ratio,Strategy Sharpe Ratio Improvement,Strategy Max Drawdown,Buy and Hold Max Drawdown,Strategy Max Drawdown Improvement,Buy Signals,Sell Signals,Hold Signals,Average Gap between Portfolio and Buy and Hold Value,Standard Deviation of Gap between Portfolio and Buy and Hold Value
10.0,1.5,60.0,10.0,2.4863505023966113,1.577803777521146,57.58299845769565,0.08823131341275856,0.04941690211567486,78.54480883125191,0.25225580134341075,0.5314201278161269,-52.531756299849434,10,5,350,32.66071046273518,27.407164781331282
50.0,1.5,60.0,10.0,2.4863505023966113,1.577803777521146,57.58299845769565,0.08823131341275856,0.04941690211567486,78.54480883125191,0.25225580134341075,0.5314201278161269,-52.531756299849434,9,4,352,32.66071046273518,27.407164781331282
10.0,1.0,60.0,10.0,2.4863505023966113,1.577803777521146,57.58299845769565,0.08823131341275856,0.04941690211567486,78.54480883125191,0.25225580134341075,0.5314201278161269,-52.531756299849434,10,5,350,32.66071046273518,27.407164781331282
30.0,1.0,60.0,10.0,2.4863505023966113,1.577803777521146,57.58299845769565,0.08823131341275856,0.04941690211567486,78.54480883125191,0.25225580134341075,0.5314201278161269,-52.531756299849434,10,4,351,32.66071046273518,27.407164781331282
50.0,1.0,60.0,10.0,2.4863505023966113,1.577803777521146,57.58299845769565,0.08823131341275856,0.04941690211567486,78.54480883125191,0.25225580134341075,0.5314201278161269,-52.531756299849434,10,4,351,32.66071046273518,27.407164781331282
30.0,1.5,60.0,10.0,2.4863505023966113,1.577803777521146,57.58299845769565,0.08823131341275856,0.04941690211567486,78.54480883125191,0.25225580134341075,0.5314201278161269,-52.531756299849434,9,4,352,32.66071046273518,27.407164781331282
10.0,2.0,60.0,10.0,2.364517513790442,1.577803777521146,49.861316564046085,0.08369334238154455,0.04941690211567486,69.36177461232911,0.25225580134341075,0.5314201278161269,-52.531756299849434,5,3,357,31.470018785031257,25.683000781819793
30.0,2.0,60.0,10.0,2.364517513790442,1.577803777521146,49.861316564046085,0.08369334238154455,0.04941690211567486,69.36177461232911,0.25225580134341075,0.5314201278161269,-52.531756299849434,7,3,355,31.470018785031257,25.683000781819793
50.0,2.0,60.0,10.0,2.2097746329140273,1.577803777521146,40.0538307992745,0.07848887243827138,0.04941690211567486,58.83001377655157,0.2906665265479675,0.5314201278161269,-45.30381682333661,5,3,357,25.162312486369736,21.402372810073278
10.0,1.0,45.0,5.0,1.8829577378579732,1.577803777521146,19.340425259739717,0.06958145072621119,0.04941690211567486,40.80496297265913,0.25225580134341075,0.5314201278161269,-52.531756299849434,12,8,345,18.728236942206458,26.329493794226114
