Date,Open,High,Low,Close,Volume,Risk Free Rate
2022-01-01,0.1703,0.1738,0.1696,0.1733,97356981.0,
2022-01-02,0.1732,0.1764,0.1705,0.1744,92952357.5,
2022-01-03,0.1745,0.1745,0.1675,0.1703,177907851.1,0.0162800002098083
2022-01-04,0.1704,0.1726,0.1666,0.1684,150683562.7,0.0166799998283386
2022-01-05,0.1684,0.1711,0.1475,0.1591,288143435.0,0.0170500004291534
2022-01-06,0.1591,0.1621,0.1539,0.16,207158119.0,0.0173300004005432
2022-01-07,0.1598,0.1603,0.1491,0.1551,311955848.9,0.0177100002765655
2022-01-08,0.1552,0.1579,0.1452,0.151,212254602.9,0.0177100002765655
2022-01-09,0.151,0.1539,0.1486,0.1505,120847997.9,0.0177100002765655
2022-01-10,0.1506,0.1522,0.1368,0.1432,248060015.0,0.0177999997138977
2022-01-11,0.1431,0.1673,0.1417,0.1539,396093197.8,0.0174600005149841
2022-01-12,0.1539,0.1638,0.1513,0.163,278602838.1,0.0172500002384185
2022-01-13,0.1628,0.1771,0.1613,0.1717,709625286.5,0.0171099996566772
2022-01-14,0.1716,0.2151,0.1704,0.1834,1659571748.2,0.017719999551773
2022-01-15,0.1833,0.1948,0.1817,0.1846,501326288.1,0.017719999551773
2022-01-16,0.1845,0.1848,0.1734,0.1767,352572368.7,0.017719999551773
2022-01-17,0.1767,0.1784,0.1657,0.171,360802521.3,0.017719999551773
2022-01-18,0.171,0.1743,0.1617,0.165,356535365.7,0.0186500000953674
2022-01-19,0.1652,0.1696,0.1591,0.1616,317804258.4,0.018270000219345
2022-01-20,0.1616,0.1694,0.1539,0.1554,285133114.4,0.0183299994468688
2022-01-21,0.1554,0.1578,0.14,0.1422,532013453.8,0.0174699997901916
2022-01-22,0.1422,0.1454,0.1201,0.1333,854329257.1,0.0174699997901916
2022-01-23,0.1333,0.1448,0.132,0.1418,512220774.3,0.0174699997901916
2022-01-24,0.1419,0.1419,0.1258,0.1374,684730733.7,0.0173500001430511
2022-01-25,0.1374,0.1543,0.1325,0.143,518555728.8,0.017829999923706
2022-01-26,0.1429,0.1536,0.1409,0.1432,487976842.5,0.0184800004959106
2022-01-27,0.1433,0.1461,0.1361,0.1415,275646573.3,0.0180700004100799
2022-01-28,0.1415,0.1428,0.1378,0.1415,189960319.8,0.0178199994564056
2022-01-29,0.1416,0.1444,0.1403,0.143,154142384.7,0.0178199994564056
2022-01-30,0.1431,0.1438,0.1382,0.1392,151267742.8,0.0178199994564056
2022-01-31,0.1393,0.1425,0.1363,0.1417,208438510.4,0.0178199994564056
2022-02-01,0.1416,0.1444,0.1408,0.1425,225818151.9,0.0179999995231628
2022-02-02,0.1425,0.1465,0.1356,0.1371,208422755.5,0.0176600003242492
2022-02-03,0.1372,0.139,0.1347,0.1381,149124896.1,0.018270000219345
2022-02-04,0.1381,0.1482,0.137,0.148,232451724.0,0.0192999994754791
2022-02-05,0.1479,0.1508,0.1447,0.147,198621246.5,0.0192999994754791
2022-02-06,0.147,0.1559,0.1447,0.1541,241793182.4,0.0192999994754791
2022-02-07,0.1541,0.1735,0.1515,0.1654,763252360.8,0.0191600000858306
2022-02-08,0.1654,0.1701,0.153,0.1584,377263980.1,0.019539999961853
2022-02-09,0.1583,0.1625,0.1543,0.1595,365274230.2,0.0192900002002716
2022-02-10,0.1594,0.161,0.1502,0.1516,311715881.4,0.0203099989891052
2022-02-11,0.1516,0.1544,0.1422,0.1448,243450171.2,0.0195500004291534
2022-02-12,0.1447,0.1476,0.1406,0.1445,173248724.2,0.0195500004291534
2022-02-13,0.1444,0.158,0.1437,0.1482,513734755.9,0.0195500004291534
